ecephys_session_id,group,preference,model,weighted_correlation,weighted_rmse_octaves,shared_grid_points,coverage_fraction
715093703,V1,sf,raw,-0.69909,0.249912,378,0.897862
715093703,V1,tf,raw,0.911246,0.126609,390,0.892449
715093703,HVA pooled,sf,raw,0.347554,0.155936,1317,1
715093703,HVA pooled,tf,raw,0.358662,0.376569,1393,1
719161530,V1,sf,raw,0.342206,0.185149,300,0.983607
719161530,V1,tf,raw,-0.198179,0.256014,330,1
719161530,HVA pooled,sf,raw,0.296585,0.221292,655,1
719161530,HVA pooled,tf,raw,0.767049,0.445296,795,1
721123822,V1,sf,raw,-0.768547,0.196533,272,1
721123822,V1,tf,raw,0.908099,0.0748222,355,1
721123822,HVA pooled,sf,raw,0.352164,0.233187,1532,1
721123822,HVA pooled,tf,raw,0.582623,0.396605,1565,1
732592105,V1,sf,raw,0.650813,0.0542952,478,0.993763
732592105,V1,tf,raw,0.322991,0.083992,508,0.998035
732592105,HVA pooled,sf,raw,-0.0627445,0.312123,1261,1
732592105,HVA pooled,tf,raw,0.00880688,0.423576,1503,1
737581020,V1,sf,raw,-0.91981,0.338161,362,1
737581020,V1,tf,raw,0.860331,0.127322,374,1
737581020,HVA pooled,sf,raw,-0.170474,0.229974,368,1
737581020,HVA pooled,tf,raw,0.602009,0.253558,397,1
739448407,V1,sf,raw,-0.430173,0.297459,275,1
739448407,V1,tf,raw,0.600627,0.295183,274,1
739448407,HVA pooled,sf,raw,-0.197151,0.341402,843,1
739448407,HVA pooled,tf,raw,0.524895,0.276419,802,1
742951821,V1,sf,raw,0.861857,0.0836517,298,1
742951821,V1,tf,raw,0.59553,0.0858967,328,1
742951821,HVA pooled,sf,raw,0.239655,0.482282,1073,1
742951821,HVA pooled,tf,raw,-0.0362147,0.349712,1150,1
744228101,V1,sf,raw,-0.637019,0.247565,273,0.99635
744228101,V1,tf,raw,0.0712228,0.610631,338,0.976879
744228101,HVA pooled,sf,raw,-0.229732,0.240661,491,1
744228101,HVA pooled,tf,raw,0.609111,0.359458,787,1
746083955,V1,sf,raw,-0.260091,0.318583,253,1
746083955,V1,tf,raw,-0.243744,0.141363,271,1
746083955,HVA pooled,sf,raw,0.0707114,0.194035,969,1
746083955,HVA pooled,tf,raw,-0.409801,0.290257,1095,1
750332458,V1,sf,raw,-0.416342,0.168208,425,1
750332458,V1,tf,raw,0.72817,0.102324,453,1
750332458,HVA pooled,sf,raw,0.185929,0.222678,955,1
750332458,HVA pooled,tf,raw,0.185974,0.592525,994,1
750749662,V1,sf,raw,-0.732987,0.80624,348,1
750749662,V1,tf,raw,0.760789,0.259369,391,1
750749662,HVA pooled,sf,raw,-0.446285,0.168002,1004,1
750749662,HVA pooled,tf,raw,0.0134494,0.563061,1145,1
751348571,V1,sf,raw,-0.922882,0.698651,323,1
751348571,V1,tf,raw,0.878401,0.282288,378,1
751348571,HVA pooled,sf,raw,-0.381674,0.293414,1164,1
751348571,HVA pooled,tf,raw,0.287274,0.500047,1325,1
754312389,V1,sf,raw,0.780909,0.302195,472,1
754312389,V1,tf,raw,0.769168,0.0889219,499,1
754312389,HVA pooled,sf,raw,0.0935272,0.213509,811,1
754312389,HVA pooled,tf,raw,0.854621,0.318299,1198,1
754829445,V1,sf,raw,-0.825327,0.442433,585,0.983193
754829445,V1,tf,raw,0.481616,0.401735,603,0.975728
754829445,HVA pooled,sf,raw,0.792411,0.765358,52,1
754829445,HVA pooled,tf,raw,-0.540916,0.2396,238,1
755434585,V1,sf,raw,-0.702719,0.201023,457,1
755434585,V1,tf,raw,0.311315,0.0614589,451,1
755434585,HVA pooled,sf,raw,0.0401257,0.275277,1552,1
755434585,HVA pooled,tf,raw,0.544248,0.245484,1607,1
756029989,V1,sf,raw,0.82853,0.246133,365,1
756029989,V1,tf,raw,0.865471,0.153485,412,1
756029989,HVA pooled,sf,raw,-0.115393,0.411366,1437,1
756029989,HVA pooled,tf,raw,0.797254,0.32148,1493,1
757216464,V1,sf,raw,-0.177033,0.310637,482,1
757216464,V1,tf,raw,0.842996,0.140907,498,1
757216464,HVA pooled,sf,raw,-0.525088,0.294205,1128,1
757216464,HVA pooled,tf,raw,-0.0814017,0.502439,1262,1
757970808,V1,sf,raw,0.400089,0.323367,494,1
757970808,V1,tf,raw,0.439419,0.110691,507,1
757970808,HVA pooled,sf,raw,-0.111509,0.220301,1054,1
757970808,HVA pooled,tf,raw,0.797867,0.398537,1216,1
758798717,V1,sf,raw,-0.0132426,0.123734,367,1
758798717,V1,tf,raw,0.808846,0.0775999,406,1
758798717,HVA pooled,sf,raw,-0.126389,0.235712,1117,1
758798717,HVA pooled,tf,raw,0.688323,0.304054,1238,1
759883607,V1,sf,raw,0.294582,0.359068,385,1
759883607,V1,tf,raw,-0.635305,0.235289,407,1
759883607,HVA pooled,sf,raw,0.343892,0.301722,1067,1
759883607,HVA pooled,tf,raw,0.170598,0.466769,1134,1
760345702,V1,sf,raw,-0.172878,0.322191,400,1
760345702,V1,tf,raw,0.870182,0.0887575,423,1
760345702,HVA pooled,sf,raw,0.274972,0.210471,1200,1
760345702,HVA pooled,tf,raw,0.148835,0.474227,1116,1
760693773,V1,sf,raw,0.08661,0.218796,623,1
760693773,V1,tf,raw,0.468108,0.196277,611,1
760693773,HVA pooled,sf,raw,0.424247,0.15033,1199,1
760693773,HVA pooled,tf,raw,0.100488,0.302732,1419,1
761418226,V1,sf,raw,0.00191219,0.184828,300,0.928793
761418226,V1,tf,raw,0.411757,0.0924632,322,0.947059
761418226,HVA pooled,sf,raw,0.374865,0.207295,1154,1
761418226,HVA pooled,tf,raw,0.862095,0.365923,1189,1
762120172,V1,sf,raw,0.824025,0.0839434,524,1
762120172,V1,tf,raw,0.476627,0.144784,511,1
762120172,HVA pooled,sf,raw,0.189607,0.41257,723,1
762120172,HVA pooled,tf,raw,0.820667,0.360797,856,1
762602078,V1,sf,raw,0.823948,0.617718,433,0.826336
762602078,V1,tf,raw,0.162183,0.11953,439,0.805505
762602078,HVA pooled,sf,raw,0.418485,0.252474,442,1
762602078,HVA pooled,tf,raw,0.711398,0.0745429,379,1
763673393,V1,sf,raw,-0.69041,0.206251,434,1
