site,session_num,subject_id,probe,time_to_first_spike_fl,time_to_first_spike_fl_n,mod_idx_dg,mod_idx_dg_n,timescale_ac,timescale_ac_n,n_units_total,n_units_pilot_qc,n_units_default_qc,n_units_used,rf_center_x_deg,rf_center_x_ci_low_deg,rf_center_x_ci_high_deg,rf_center_y_deg,rf_center_y_ci_low_deg,rf_center_y_ci_high_deg,rf_peak_value_median,rf_grid_edge_fraction,rf_center_x_all_units_deg,rf_center_y_all_units_deg,rf_center_x_default_qc_deg,rf_center_y_default_qc_deg,qc_rule,rf_method,gaze_correction,bootstrap_iterations
site2,2,816305,A,74.1822429906542,214,-0.10753077090715046,318,43.54538518053912,34,743,143,318,143,-10.0,-10.0,-10.0,-10.0,-10.0,0.0,1.5,0.3006993006993007,-10.0,-10.0,-10.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site2,2,816305,B,69.98564593301435,209,-0.09417354608694292,350,46.58709113557917,85,641,160,350,160,10.0,10.0,20.0,15.0,10.0,20.0,1.0166666666666666,0.34375,10.0,20.0,10.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site2,2,816305,C,70.63245033112582,302,-0.15569948653879778,431,45.965210720743556,103,855,175,431,175,0.0,-10.0,0.0,10.0,0.0,20.0,1.1,0.5028571428571429,-10.0,10.0,-10.0,10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site2,2,816305,E,72.75503355704699,149,-0.19334124946152956,230,67.52967196868441,23,493,78,230,78,-20.0,-20.0,-10.0,0.0,0.0,5.0,2.3,0.3333333333333333,-10.0,0.0,-15.0,0.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site3,3,810531,A,73.34565217391304,230,-0.13667547094203997,341,49.16449762071209,72,565,160,341,160,-10.0,-20.0,0.0,-20.0,-20.0,-20.0,1.5666666666666669,0.38125,-20.0,-20.0,-20.0,-20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site3,3,810531,B,71.24739583333333,192,-0.008933213119962384,341,40.01240855165449,49,554,167,341,167,20.0,20.0,30.0,0.0,0.0,0.0,1.1666666666666667,0.3233532934131736,20.0,0.0,20.0,0.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site3,3,810531,C,73.42340425531916,235,-0.07041085540732143,365,53.908612419517546,100,567,161,365,161,-10.0,-10.0,0.0,20.0,20.0,20.0,1.6333333333333333,0.2795031055900621,-10.0,20.0,-10.0,20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site3,3,810531,E,75.03512396694215,242,-0.12413961068252369,362,55.22358746678053,49,565,150,362,150,-20.0,-30.0,0.0,-10.0,-10.0,-10.0,1.2166666666666668,0.4866666666666667,-20.0,-10.0,-20.0,-10.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site4,4,810532,A,71.53294573643412,258,-0.07193647101392196,345,44.382380167911776,68,617,161,345,161,-10.0,-10.0,0.0,-20.0,-30.0,-20.0,1.4666666666666666,0.5279503105590062,0.0,-20.0,-10.0,-20.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
site4,4,810532,B,70.96929824561404,228,-0.0723727311275308,349,37.64405055856902,64,610,167,349,167,30.0,20.0,30.0,-10.0,-10.0,0.0,1.1333333333333333,0.6586826347305389,20.0,0.0,20.0,0.0,"PilotAnalysis is_qc: snr>5, d_prime>2, rp_contamination<0.1, default_qc",per_unit_unsmoothed_argmax_spike_counts,none,5000
